Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,124393.076504449,4,31098.2691261122,12906.1421403953,0,0.808956588786018
Algorithm,4396.09716936844,2,2198.04858468422,912.215639731839,1.03913030599604e-222,0.0285888239927644
NFFT,879.15712054586,3,293.052373515287,121.620131713142,9.18568231829355e-67,0.0057173595607492
Components,159.491189690743,3,53.1637298969144,22.0635641160824,8.04123205370181e-14,0.00103720763549918
Scenario*Algorithm,8604.81069791931,8,1075.60133723991,446.387022008291,2.97939716651474e-317,0.0559590493695145
Scenario*NFFT,3240.89685955731,12,270.074738296442,112.084146768709,3.8132966237463e-173,0.0210762925219639
Scenario*Components,441.824838971603,12,36.8187365809669,15.2802024388146,8.95589585807047e-30,0.00287328784381835
Algorithm*NFFT,4070.79328354626,6,678.465547257709,281.571066053855,1.12632226192755e-207,0.0264732985215044
Algorithm*Components,946.416540225648,6,157.736090037608,65.4623056492298,3.13695975784773e-68,0.00615476292946435
NFFT*Components,273.283065907541,9,30.3647851008379,12.6017377682577,4.5515098320048e-19,0.00177722219742384
Scenario*Algorithm*NFFT,2078.23080087951,24,86.5929500366462,35.93707794466,5.75205519793388e-116,0.0135152095810525
Scenario*Algorithm*Components,511.608379738609,24,21.317015822442,8.84680864706015,1.52579941029521e-28,0.00332710614849119
Scenario*NFFT*Components,468.458363713144,36,13.0127323253651,5.40043474268675,4.50369047126604e-21,0.00304649173850211
Algorithm*NFFT*Components,497.817049149104,18,27.6565027305058,11.4777691934767,1.83942684267017e-30,0.00323741797562807
Scenario*Algorithm*NFFT*Components,494.629504789104,72,6.86985423318199,2.8510691337093,5.94342813134e-13,0.00321668864659682
Error,2313.18840566816,960,2.40957125590433,,,0.0150431925510079
Total,153769.779774119,1199,,,,
