Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,581675.142039439,4,145418.78550986,58526.9522822748,0,0.9157356307767
Algorithm,11452.0413061322,2,5726.02065306611,2304.56152108764,0,0.0180290363318307
NFFT,4117.09530436667,3,1372.36510145556,552.338176427024,1.7285573072105e-208,0.00648157466776597
Components,477.568284340552,3,159.189428113517,64.0692468333861,9.16612330746301e-38,0.000751839407415987
Scenario*Algorithm,18751.103396802,8,2343.88792460025,943.348661846564,0,0.0295200056798462
Scenario*NFFT,2223.09155224229,12,185.257629353524,74.5609612615413,3.00433526945826e-128,0.00349983005587836
Scenario*Components,152.495012468891,12,12.7079177057409,5.11457780755944,2.45423286121732e-08,0.000240074065987906
Algorithm*NFFT,5761.62925314822,6,960.27154219137,386.48216274678,5.07145506909622e-252,0.00907057705772724
Algorithm*Components,1609.82454285573,6,268.304090475955,107.984815341211,5.78155749028036e-104,0.00253435910639594
NFFT*Components,334.105916747823,9,37.122879638647,14.9409101277662,6.8273377245591e-23,0.000525985503431658
Scenario*Algorithm*NFFT,3865.20774921833,24,161.050322884097,64.818204397969,6.93333204540915e-182,0.00608502616065627
Scenario*Algorithm*Components,760.104708312312,24,31.671029513013,12.7466944971353,3.42096734817214e-43,0.00119663866343376
Scenario*NFFT*Components,492.945553345489,36,13.6929320373747,5.51101824393605,1.14387188680362e-21,0.000776047959774761
Algorithm*NFFT*Components,422.402501198696,18,23.4668056221498,9.44472619579026,2.23719824368263e-24,0.000664991492537628
Scenario*Algorithm*NFFT*Components,719.839615934412,72,9.9977724435335,4.02382091612265,2.02159082713843e-23,0.0011332490201396
Error,2385.26061319862,960,2.4846464720819,,,0.00375513405048717
Total,635199.857349746,1199,,,,
