Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,111819.964849338,4,27954.9912123346,25458.7284834229,0,0.879909108456441
Algorithm,5018.68525675179,2,2509.3426283759,2285.26892254979,0,0.0394919357723093
NFFT,97.8542747532338,3,32.6180915844113,29.7054336732734,2.27830915395707e-18,0.000770013367226336
Components,30.9302695799997,3,10.3100898599999,9.38944235008789,4.04451999245173e-06,0.000243389684186759
Scenario*Algorithm,5841.33090650673,8,730.166363313341,664.965588796915,0,0.0459653182423067
Scenario*NFFT,472.275665855006,12,39.3563054879172,35.8419535143847,4.27459742122545e-69,0.00371632794419189
Scenario*Components,301.087070495065,12,25.0905892079221,22.8501054885591,5.18630092295804e-45,0.00236924824760971
Algorithm*NFFT,397.274308081687,6,66.2123846802812,60.2998981831714,1.88056103579995e-63,0.00312614373209468
Algorithm*Components,29.7484779349616,6,4.95807965582693,4.51534406854635,0.000159741564029069,0.000234090188929647
NFFT*Components,15.0235199333838,9,1.6692799925982,1.52022033459329,0.135920997681254,0.00011821978345524
Scenario*Algorithm*NFFT,1700.81243716007,24,70.8671848816696,64.5390443725447,2.449181457195e-181,0.0133836596823255
Scenario*Algorithm*Components,75.6344104400487,24,3.15143376833536,2.87002403370957,5.60614767833811e-06,0.000595165691105344
Scenario*NFFT*Components,69.2799889248417,36,1.92444413680116,1.75259939766027,0.00432856680452869,0.000545162872934764
Algorithm*NFFT*Components,28.2977233916026,18,1.57209574397792,1.43171422920065,0.10822693528056,0.000222674229905192
Scenario*Algorithm*NFFT*Components,128.939114000023,72,1.79082102777809,1.63090826830559,0.00101659120751127,0.00101461935708697
Error,1054.1292972002,960,1.09805135125021,,,0.00829492274789182
Total,127081.267570347,1199,,,,
