Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,3915408.47388479,4,978852.118471198,1486.7293463965,0,0.186908024762447
Algorithm,339053.739682604,2,169526.869841302,257.485852704132,2.97866054983521e-90,0.0161852499413733
NFFT,136007.658457473,3,45335.886152491,68.8584017094123,2.4640890630268e-40,0.00649253403939989
Components,10135646.2488717,3,3378548.74962392,5131.50809965261,0,0.483840608892564
Scenario*Algorithm,1381683.22986292,8,172710.403732865,262.321162525218,1.67046923421629e-235,0.0659567667239703
Scenario*NFFT,633683.584085017,12,52806.9653404181,80.2058488552502,1.20303343175018e-135,0.0302498571517378
Scenario*Components,1431146.35959086,12,119262.196632572,181.141363749903,8.53345056464803e-237,0.0683179650351253
Algorithm*NFFT,93415.8211536668,6,15569.3035256111,23.6474335782537,3.63775792243836e-26,0.00445934740394282
Algorithm*Components,159895.970447175,6,26649.3284078625,40.4763271776,4.66531392787968e-44,0.00763287922654567
NFFT*Components,102070.322897788,9,11341.1469886431,17.2254988589557,1.37799901055707e-26,0.00487248330970744
Scenario*Algorithm*NFFT,353331.679769106,24,14722.1533237128,22.3607396617761,3.17340727556435e-76,0.0168668292956206
Scenario*Algorithm*Components,664326.768297691,24,27680.2820124038,42.0421908558016,1.04308863580324e-131,0.0317126565178381
Scenario*NFFT*Components,395771.710137609,36,10993.6586149336,16.6977162113251,6.12246305121343e-78,0.018892769194342
Algorithm*NFFT*Components,117390.861773536,18,6521.7145429742,9.90550484275819,9.18933858888194e-26,0.00560383271518112
Scenario*Algorithm*NFFT*Components,457426.919250287,72,6353.15165625399,9.64948313562673,5.45864845878792e-73,0.0218359751020854
Error,632057.230867185,960,658.392948819984,,,0.0301722206881252
Total,20948316.5790293,1199,,,,
