Source,Sum_Sq,df,Mean_Sq,F,P_value,Percent_Variance
Scenario,4011968.76889813,4,1002992.19222453,1329.18813886613,0,0.211117878484173
Algorithm,1490016.36249908,2,745008.181249542,987.301840983266,1.16533816458024e-233,0.0784076625411783
NFFT,191801.424462393,3,63933.808154131,84.7265413727069,1.23003996885235e-48,0.0100929773274043
Components,4451977.39999585,3,1483992.46666528,1966.6206777576,0,0.234272019022906
Scenario*Algorithm,2224982.12491675,8,278122.765614594,368.574635046419,1.67807764431417e-286,0.117083041502998
Scenario*NFFT,465446.49591776,12,38787.2079931467,51.4016930579285,7.31509650346549e-95,0.0244927322285805
Scenario*Components,1846030.37068533,12,153835.864223778,203.866797412409,4.0894508625905e-254,0.0971418368202992
Algorithm*NFFT,171096.930537287,6,28516.1550895479,37.790259390782,2.7126687568118e-41,0.00900346514913341
Algorithm*Components,552716.310888659,6,92119.3851481099,122.07871112829,1.37692622262358e-114,0.0290850456920332
NFFT*Components,171054.819530722,9,19006.0910589691,25.1873055419917,4.28674675897027e-39,0.0090012491831379
Scenario*Algorithm*NFFT,526240.100896027,24,21926.6708706678,29.0577245486561,9.93215057735455e-97,0.0276918141875215
Scenario*Algorithm*Components,1023316.97119962,24,42638.2071333175,56.5051249884863,6.40245092495892e-165,0.0538490004337317
Scenario*NFFT*Components,534179.453099351,36,14838.3181416487,19.6640777739837,5.11077536880173e-91,0.028109598893798
Algorithm*NFFT*Components,155010.540985327,18,8611.69672140707,11.4124169922194,2.87647315440842e-30,0.00815696692586522
Scenario*Algorithm*NFFT*Components,463208.858017109,72,6433.45636134874,8.52576316516661,1.18464427451421e-63,0.0243749832146641
Error,724406.482709762,960,754.590086156002,,,0.0381197283925691
Total,19003453.4152393,1199,,,,
