Source,Sum_Sq,Percent_Variance
Components,10135646.2488717,48.3840608892563
Scenario,3915408.47388475,18.6908024762445
Scenario*Components,1431146.35959083,6.83179650351237
Scenario*Algorithm,1381683.22986291,6.595676672397
Scenario*Algorithm*Components,664326.768297669,3.17126565178371
Scenario*NFFT,633683.584084991,3.02498571517365
Error,632057.230867226,3.01722206881272
Scenario*Algorithm*NFFT*Components,457426.919250228,2.18359751020826
Scenario*NFFT*Components,395771.710137557,1.88927691943395
Scenario*Algorithm*NFFT,353331.679769058,1.68668292956183
Algorithm,339053.739682589,1.61852499413726
Algorithm*Components,159895.970447175,0.763287922654567
NFFT,136007.658457458,0.649253403939918
Algorithm*NFFT*Components,117390.861773536,0.560383271518112
NFFT*Components,102070.322897729,0.48724833097046
Algorithm*NFFT,93415.8211536445,0.445934740394176
Total,20948316.5790293,
