Source,Sum_Sq,Percent_Variance
Components,4451977.39999585,23.4272019022906
Scenario,4011968.76889812,21.1117878484172
Scenario*Algorithm,2224982.12491679,11.7083041503
Scenario*Components,1846030.37068532,9.71418368202988
Algorithm,1490016.36249909,7.84076625411787
Scenario*Algorithm*Components,1023316.97119962,5.38490004337319
Error,724406.482709777,3.81197283925699
Algorithm*Components,552716.310888659,2.90850456920332
Scenario*NFFT*Components,534179.453099336,2.81095988937972
Scenario*Algorithm*NFFT,526240.100896034,2.76918141875219
Scenario*NFFT,465446.495917786,2.44927322285819
Scenario*Algorithm*NFFT*Components,463208.858017087,2.4374983214663
NFFT,191801.4244624,1.00929773274046
Algorithm*NFFT,171096.930537291,0.900346514913361
NFFT*Components,171054.819530737,0.900124918313869
Algorithm*NFFT*Components,155010.54098535,0.815696692586639
Total,19003453.4152393,
